SecurityId,AssetName,ExchangeType,SchemaName
MAJESAUT,MAJESTIC AUTO LTD.-$,BSE,ExchangeList
MANALIPETC,MANALI PETROCHEMICAL LTD.,BSE,ExchangeList
BARODARY,BARODA RAYON CORPORATION LTD.,BSE,ExchangeList
MFSL,Max Financial Services Ltd,BSE,ExchangeList
MIDINDIA,MID INDIA INDUSTRIES LTD.,BSE,ExchangeList
MIRCELECTR,MIRC ELECTRONICS LTD.,BSE,ExchangeList
CENTENKA,CENTURY ENKA LTD.,BSE,ExchangeList
MODTHREAD,MODERN THREADS (INDIA) LTD.,BSE,ExchangeList
LORDSCHLO,LORDS CHLORO ALKALI LTD.,BSE,ExchangeList
SPICEJET,SPICEJET LTD.,BSE,ExchangeList
MOREPENLAB,MOREPEN LABORATORIES LTD.,BSE,ExchangeList
MRF,MRF LTD.,BSE,ExchangeList
HEIDELBERG,HEIDELBERGCEMENT INDIA LTD.,BSE,ExchangeList
NCC,NCC Limited,BSE,ExchangeList
VEDL,Vedanta Limited,BSE,ExchangeList
NAHARSPING,NAHAR SPINNING MILLS LTD.,BSE,ExchangeList
NAPEROL,Naperol Investments Ltd,BSE,ExchangeList
GRASIM,GRASIM INDUSTRIES LTD.,BSE,ExchangeList
PEL,PIRAMAL ENTERPRISES LTD.,BSE,ExchangeList
NIITLTD,NIIT LTD.,BSE,ExchangeList
JAYKAY,JAYKAY ENTERPRISES LTD.,BSE,ExchangeList
NIRLON,NIRLON LTD.,BSE,ExchangeList
ONGC,Oil and Natural Gas Corporation Ltd,BSE,ExchangeList
OILCOUNTUB,OIL COUNTRY TUBULAR LTD.,BSE,ExchangeList
ORIENTHOT,ORIENTAL HOTELS LTD.,BSE,ExchangeList
OSWALAGRO,OSWAL AGRO MILLS LTD.,BSE,ExchangeList
INDSUCR,INDIAN SUCROSE LTD.,BSE,ExchangeList
PANCM,PANYAM CEMENTS & MINERAL INDUSTRIES LTD.,BSE,ExchangeList
RELIANCE,RELIANCE INDUSTRIES LTD.,BSE,ExchangeList
PILITA,Pil Italica Lifestyle Ltd,BSE,ExchangeList
RAYMOND,RAYMOND LTD.,BSE,ExchangeList
PIDILITIND,PIDILITE INDUSTRIES LTD.,BSE,ExchangeList
PIXTRANS,PIX TRANSMISSIONS LTD.,BSE,ExchangeList
BIRLACORPN,BIRLA CORPORATION LTD.,BSE,ExchangeList
SURYAROSNI,SURYA ROSHNI LTD.,BSE,ExchangeList
PRIMESECU,PRIME SECURITIES LTD.,BSE,ExchangeList
PRSMJOHNSN,Prism Johnson Ltd,BSE,ExchangeList
RAIN,Rain Industries Ltd,BSE,ExchangeList
PRUDMOULI,PRUDENTIAL SUGAR CORPORATION LTD.,BSE,ExchangeList
AMJLAND,AMJ Land Holdings Ltd,BSE,ExchangeList
PUNJCOMMU,PUNJAB COMMUNICATIONS LTD.-$,BSE,ExchangeList
RSWM,RSWM LTD.,BSE,ExchangeList
RAJSREESUG,RAJSHREE SUGARS & CHEMICALS LTD.,BSE,ExchangeList
RALLIS,RALLIS INDIA LTD.,BSE,ExchangeList
RAMANEWS,SHREE RAMA NEWSPRINT LTD.,BSE,ExchangeList
RAMAPPR-B,RAMA PAPER MILLS LTD.,BSE,ExchangeList
RAPICUT,RAPICUT CARBIDES LTD.,BSE,ExchangeList
WELSPLSOL,Welspun Specialty Solutions Ltd,BSE,ExchangeList
RUBFILA,RUBFILA INTERNATIONAL LTD.,BSE,ExchangeList
PATANJALI,Patanjali Foods Ltd,BSE,ExchangeList
SALORAINTL,SALORA INTERNATIONAL LTD.,BSE,ExchangeList
JINDALSAW,JINDAL SAW LTD.,BSE,ExchangeList
JKLAKSHMI,JK LAKSHMI CEMENT LTD.,BSE,ExchangeList
SHREECEM,SHREE CEMENT LTD.,BSE,ExchangeList
SKPMIL,SHREE KRISHNA PAPER MILLS & INDUSTRIES LTD.,BSE,ExchangeList
RELINFRA,RELIANCE INFRASTRUCTURE LTD.,BSE,ExchangeList
TATAPOWER,TATA POWER CO.LTD.,BSE,ExchangeList
SPMLINFRA,SPML Infra Limited,BSE,ExchangeList
SUNDRMFAST,SUNDRAM FASTENERS LTD.,BSE,ExchangeList
SUNFLAG,SUNFLAG IRON & STEEL CO.LTD.,BSE,ExchangeList
SPLPETRO,SUPREME PETROCHEM LTD.,BSE,ExchangeList
SWARAJENG,SWARAJ ENGINES LTD.,BSE,ExchangeList
TATAELXSI,TATA ELXSI LTD.,BSE,ExchangeList
ACC,ACC LTD.,BSE,ExchangeList
THERMAX,THERMAX LTD.,BSE,ExchangeList
TIRUMALCHM,THIRUMALAI CHEMICALS LTD.,BSE,ExchangeList
THOMASCOOK,THOMAS COOK (INDIA) LTD.,BSE,ExchangeList
TIMEX,TIMEX GROUP INDIA LTD.-$,BSE,ExchangeList
TOKYOPLAST,TOKYO PLAST INTERNATIONAL LTD.,BSE,ExchangeList
TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,BSE,ExchangeList
TPINDIA,TPI INDIA LTD.,BSE,ExchangeList
TRANSCHEM,TRANSCHEM LTD.-$,BSE,ExchangeList
AMBUJACEM,AMBUJA CEMENTS LTD.,BSE,ExchangeList
UTLINDS,UTL Industries Limited,BSE,ExchangeList
UNIENTER,UNIPHOS ENTERPRISES LTD.,BSE,ExchangeList
VHL,VARDHMAN HOLDINGS LTD.,BSE,ExchangeList
HINDALCO,HINDALCO INDUSTRIES LTD.,BSE,ExchangeList
WSTCSTPAPR,WEST COAST PAPER MILLS LTD.,BSE,ExchangeList
HOCL,HINDUSTAN ORGANIC CHEMICALS LTD.,BSE,ExchangeList
MPILCORPL,MPIL CORPORATION LTD.,BSE,ExchangeList
PASUPTAC,PASUPATI ACRYLON LTD.,BSE,ExchangeList
KORE,Kore Foods Ltd,BSE,ExchangeList
PGHH,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,BSE,ExchangeList
MUKANDLTD,MUKAND LTD.,BSE,ExchangeList
BBOX,Black Box Ltd,BSE,ExchangeList
UCAL,Ucal  Ltd,BSE,ExchangeList
HARRMALAYA,HARRISONS MALAYALAM LTD.,BSE,ExchangeList
FEDERALBNK,FEDERAL BANK LTD.,BSE,ExchangeList
TATASTEEL,TATA STEEL LTD.,BSE,ExchangeList
SKFINDIA,SKF India Ltd,BSE,ExchangeList
ASHOKLEY,ASHOK LEYLAND LTD.,BSE,ExchangeList
